Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Latitude,Longitude
India,chapar,51,Moderate,2,Good,41,Good,0,Good,51,Moderate,32.89122,75.4172
India,chapar,51,Moderate,2,Good,41,Good,0,Good,51,Moderate,30.33382,76.53207
India,chapar,51,Moderate,2,Good,41,Good,0,Good,51,Moderate,27.88445,76.42386
India,chapar,51,Moderate,2,Good,41,Good,0,Good,51,Moderate,29.55834,79.34203
India,chapar,51,Moderate,2,Good,41,Good,0,Good,51,Moderate,25.40685,87.20631
India,chapar,51,Moderate,2,Good,41,Good,0,Good,51,Moderate,25.39025,87.2182
India,banapur,152,Unhealthy,3,Good,87,Moderate,1,Good,152,Unhealthy,33.65851,75.22754
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,28.49849,77.18254
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,24.9177,79.58871
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,24.36746,84.18675
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,24.08464,84.46096
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,27.51621,76.95213
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,23.06477,78.92779
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,22.16246,78.0937
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,29.28957,78.64293
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,28.94457,79.09662
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,24.91439,76.97898
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,25.9951,78.41302
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,27.67471,77.99487
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,23.26523,79.6556
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,23.06537,79.96664
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,22.2316,79.69485
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,24.71448,77.40572
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,24.09749,77.2684
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,26.89691,79.89112
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,26.86453,79.86526
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,25.80958,82.8993
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,25.28609,78.00811
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,25.95682,83.64158
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,24.17066,83.36342
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,24.17727,83.35122
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,24.37869,83.8459
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,26.01285,81.83366
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,26.31657,82.87392
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,26.08667,83.04806
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,26.08212,83.15316
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,25.64924,83.70018
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,23.28571,80.03115
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,22.66548,80.6437
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,20.77323,82.22143
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,27.71166,81.35633
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,19.7246,83.40138
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,29.07109,79.13344
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,24.43612,84.66188
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,25.21798,85.36219
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,25.27366,85.50546
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,25.31506,85.71697
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,23.11557,84.2609
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,22.94269,84.40666
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,24.85239,86.30948
India,chhatarpur,168,Unhealthy,3,Good,74,Moderate,3,Good,168,Unhealthy,21.16714,84.40137
India,medak,101,Unhealthy for Sensitive Groups,1,Good,27,Good,0,Good,101,Unhealthy for Sensitive Groups,18.04531,78.26078
India,medak,101,Unhealthy for Sensitive Groups,1,Good,27,Good,0,Good,101,Unhealthy for Sensitive Groups,16.98214,77.46375
India,malkangiri,152,Unhealthy,2,Good,47,Good,0,Good,152,Unhealthy,17.21222,77.51715
India,navsari,114,Unhealthy for Sensitive Groups,1,Good,26,Good,0,Good,114,Unhealthy for Sensitive Groups,20.94237,72.92467
India,navsari,114,Unhealthy for Sensitive Groups,1,Good,26,Good,0,Good,114,Unhealthy for Sensitive Groups,20.33801,74.49972
Japan,ome,62,Moderate,1,Good,52,Moderate,1,Good,62,Moderate,23.86358,85.09073
India,tajpur,500,Hazardous,1,Good,67,Moderate,1,Good,500,Hazardous,31.62551,75.80718
India,tajpur,500,Hazardous,1,Good,67,Moderate,1,Good,500,Hazardous,27.89569,78.26325
India,tajpur,500,Hazardous,1,Good,67,Moderate,1,Good,500,Hazardous,24.8351,85.60993
India,fort gloster,194,Unhealthy,8,Good,11,Good,19,Good,194,Unhealthy,22.50444,88.18333
Philippines,tigaon,54,Moderate,1,Good,21,Good,1,Good,54,Moderate,20.76565,78.52438
Philippines,tigaon,54,Moderate,1,Good,21,Good,1,Good,54,Moderate,27.8351,77.05506
India,mandapam,58,Moderate,1,Good,33,Good,0,Good,58,Moderate,9.27571,79.12362
India,mandapam,58,Moderate,1,Good,33,Good,0,Good,58,Moderate,17.31819,82.39622
India,mandapam,58,Moderate,1,Good,33,Good,0,Good,58,Moderate,14.38135,80.14035
India,mandapam,58,Moderate,1,Good,33,Good,0,Good,58,Moderate,11.21519,79.77183
India,mandapeta,153,Unhealthy,1,Good,52,Moderate,0,Good,153,Unhealthy,16.86254,81.92921
India,hiriyur,61,Moderate,0,Good,25,Good,0,Good,61,Moderate,12.82435,75.77066
India,alandur,115,Unhealthy for Sensitive Groups,3,Good,36,Good,5,Good,115,Unhealthy for Sensitive Groups,13.0025,80.20611
India,dandeli,31,Good,1,Good,27,Good,1,Good,31,Good,15.26667,74.61667
Democratic Republic of the Congo,demba,175,Unhealthy,7,Good,54,Moderate,2,Good,175,Unhealthy,24.45501,81.8703
Democratic Republic of the Congo,demba,175,Unhealthy,7,Good,54,Moderate,2,Good,175,Unhealthy,25.22874,87.5807
India,digapahandi,153,Unhealthy,3,Good,85,Moderate,1,Good,153,Unhealthy,19.37275,84.57184
