Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Latitude,Longitude
France,avrille,27,Good,1,Good,24,Good,3,Good,27,Good,,
Malaysia,ayer molek,72,Moderate,1,Good,31,Good,0,Good,72,Moderate,,
Argentina,azul,34,Good,0,Good,17,Good,0,Good,34,Good,,
United States of America,back mountain,62,Moderate,2,Good,18,Good,8,Good,62,Moderate,,
Philippines,baguio,28,Good,0,Good,25,Good,1,Good,28,Good,,
Turkey,zile,46,Good,1,Good,46,Good,0,Good,24,Good,,
Poland,znin,42,Good,1,Good,42,Good,0,Good,27,Good,,
Libya,zuwarah,57,Moderate,1,Good,48,Good,0,Good,57,Moderate,,
Spain,bueu,22,Good,1,Good,21,Good,2,Good,22,Good,,
United Republic of Tanzania,bugarama,45,Good,1,Good,20,Good,0,Good,45,Good,,
Germany,burg,59,Moderate,1,Good,36,Good,2,Good,59,Moderate,,
United States of America,burkburnett,35,Good,1,Good,35,Good,1,Good,33,Good,,
United States of America,burlington,51,Moderate,1,Good,22,Good,9,Good,51,Moderate,,
Mexico,cadereyta,84,Moderate,2,Good,11,Good,6,Good,84,Moderate,,
Brazil,cajamar,78,Moderate,2,Good,3,Good,7,Good,78,Moderate,,
Philippines,calbayog,36,Good,1,Good,22,Good,0,Good,36,Good,,
Peru,camana,23,Good,1,Good,23,Good,0,Good,14,Good,,
Venezuela (Bolivarian Republic of),cantaura,134,Unhealthy for Sensitive Groups,1,Good,20,Good,1,Good,134,Unhealthy for Sensitive Groups,,
Brazil,carandai,52,Moderate,1,Good,10,Good,2,Good,52,Moderate,,
United States of America,carpentersville,58,Moderate,1,Good,18,Good,14,Good,58,Moderate,,
Italy,carpi,60,Moderate,1,Good,44,Good,2,Good,60,Moderate,,
Ireland,carrigaline,33,Good,1,Good,33,Good,2,Good,22,Good,,
United States of America,carver,33,Good,1,Good,31,Good,8,Good,33,Good,,
Italy,castellammare di stabia,74,Moderate,2,Good,52,Moderate,10,Good,74,Moderate,,
Spain,castilleja de la cuesta,26,Good,0,Good,26,Good,1,Good,16,Good,,
United States of America,cayce,71,Moderate,2,Good,25,Good,9,Good,71,Moderate,,
Brazil,chapadinha,56,Moderate,1,Good,9,Good,1,Good,56,Moderate,,
France,chateau thierry,68,Moderate,1,Good,24,Good,3,Good,68,Moderate,,
