Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,city,city_ascii,Latitude,Longitude,country,iso2,iso3,admin_name,capital,population,id
India,Chittaurgarh,207,Very Unhealthy,1,Good,35,Good,0,Good,207,Very Unhealthy,Chittaurgarh,Chittaurgarh,24.88,74.63,India,IN,IND,Rājasthān,,116406.0,1356110002.0
Zambia,Choma,37,Good,1,Good,21,Good,0,Good,37,Good,Choma,Choma,-16.7711,26.9922,Zambia,ZM,ZMB,Southern,admin,51842.0,1894419971.0
Peru,Chosica,179,Unhealthy,9,Good,5,Good,25,Good,179,Unhealthy,Chosica,Chosica,-11.9361,-76.6972,Peru,PE,PER,Lima,,88606.0,1604040866.0
Belgium,Aarschot,44,Good,1,Good,29,Good,3,Good,44,Good,Aarschot,Aarschot,50.9875,4.8333,Belgium,BE,BEL,Flanders,,29965.0,1056740173.0
Japan,Abashiri,35,Good,1,Good,35,Good,0,Good,29,Good,Abashiri,Abashiri,44.0167,144.2667,Japan,JP,JPN,Hokkaidō,,34640.0,1392204790.0
Italy,Adrano,50,Good,1,Good,32,Good,2,Good,50,Good,Adrano,Adrano,37.6625,14.8356,Italy,IT,ITA,Sicilia,,33899.0,1380203916.0
Germany,Aerzen,35,Good,1,Good,35,Good,1,Good,34,Good,Aerzen,Aerzen,52.0494,9.2653,Germany,DE,DEU,Lower Saxony,,10544.0,1276826554.0
Italy,Agliana,80,Moderate,1,Good,39,Good,4,Good,80,Moderate,Agliana,Agliana,43.9,11.0,Italy,IT,ITA,Tuscany,,17934.0,1380301784.0
Turkmenistan,Akdepe,57,Moderate,1,Good,43,Good,0,Good,57,Moderate,Akdepe,Akdepe,42.05,59.4,Turkmenistan,TM,TKM,Daşoguz,,15580.0,1795536165.0
Turkey,Akhisar,64,Moderate,1,Good,38,Good,1,Good,64,Moderate,Akhisar,Akhisar,38.9239,27.84,Turkey,TR,TUR,Manisa,minor,177419.0,1792301869.0
Germany,Alfter,58,Moderate,1,Good,30,Good,4,Good,58,Moderate,Alfter,Alfter,50.7356,7.0092,Germany,DE,DEU,North Rhine-Westphalia,,23949.0,1276256549.0
Italy,Cardito,63,Moderate,1,Good,63,Moderate,3,Good,58,Moderate,Cardito,Cardito,40.9362,14.2993,Italy,IT,ITA,Campania,,21514.0,1380120364.0
