City,Latitude,Longitude,Country,AQI Value,AQI Category,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
zunheboto,25.96667,94.51667,India,35.0,Good,1.0,14.0,0.0,35.0
zunheboto,26.0,94.5,India,35.0,Good,1.0,14.0,0.0,35.0
ziro,27.59497,93.83854,India,24.0,Good,1.0,22.0,0.0,24.0
zamania,25.3742,83.54376,India,173.0,Unhealthy,4.0,84.0,5.0,173.0
zamania,25.41961,83.55786,India,173.0,Unhealthy,4.0,84.0,5.0,173.0
zaidpur,26.83093,81.32929,India,163.0,Unhealthy,4.0,48.0,8.0,163.0
zahirabad,17.68138,77.60743,India,134.0,Unhealthy for Sensitive Groups,1.0,41.0,0.0,134.0
yol,32.16423,76.19622,India,137.0,Unhealthy for Sensitive Groups,2.0,99.0,0.0,137.0
yeola,20.0424,74.48944,India,134.0,Unhealthy for Sensitive Groups,1.0,31.0,0.0,134.0
yellapur,14.9637,74.70929,India,26.0,Good,1.0,26.0,0.0,21.0
yellandu,17.59064,80.32146,India,124.0,Unhealthy for Sensitive Groups,1.0,36.0,0.0,124.0
yelbarga,15.61545,76.01184,India,54.0,Moderate,1.0,28.0,2.0,54.0
yelahanka,13.10073,77.59632,India,57.0,Moderate,1.0,27.0,0.0,57.0
yavatmal,20.38704,78.11969,India,153.0,Unhealthy,1.0,31.0,0.0,153.0
yavatmal,20.39324,78.13201,India,153.0,Unhealthy,1.0,31.0,0.0,153.0
yavatmal,20.15,78.35,India,153.0,Unhealthy,1.0,31.0,0.0,153.0
yaval,21.16772,75.69762,India,102.0,Unhealthy for Sensitive Groups,1.0,38.0,0.0,102.0
yanam,16.73308,82.21364,India,119.0,Unhealthy for Sensitive Groups,3.0,44.0,4.0,119.0
yanam,16.73463,82.21773,India,119.0,Unhealthy for Sensitive Groups,3.0,44.0,4.0,119.0
yadgir,16.77007,77.13755,India,82.0,Moderate,0.0,27.0,0.0,82.0
wokha,26.09717,94.25817,India,57.0,Moderate,1.0,26.0,0.0,57.0
wokha,26.16667,94.25,India,57.0,Moderate,1.0,26.0,0.0,57.0
wazirganj,28.21145,79.05665,India,157.0,Unhealthy,4.0,32.0,14.0,157.0
wazirganj,24.80079,85.23873,India,157.0,Unhealthy,4.0,32.0,14.0,157.0
washim,20.11128,77.133,India,150.0,Unhealthy,1.0,40.0,0.0,150.0
warud,21.47101,78.26965,India,146.0,Unhealthy for Sensitive Groups,1.0,35.0,0.0,146.0
warora,20.22885,79.00277,India,151.0,Unhealthy,1.0,38.0,0.0,151.0
waris aliganj,25.0172,85.64047,India,302.0,Hazardous,1.0,88.0,1.0,283.0
wardha,19.59116,79.78854,India,164.0,Unhealthy,0.0,29.0,0.0,164.0
wardha,20.73256,78.59507,India,164.0,Unhealthy,0.0,29.0,0.0,164.0
wardha,20.73933,78.59784,India,164.0,Unhealthy,0.0,29.0,0.0,164.0
wardha,20.33197,80.08183,India,164.0,Unhealthy,0.0,29.0,0.0,164.0
wardha,20.83333,78.6,India,164.0,Unhealthy,0.0,29.0,0.0,164.0
waraseoni,21.76184,80.04301,India,153.0,Unhealthy,1.0,39.0,0.0,153.0
warangal,18.0,79.58333,India,164.0,Unhealthy,2.0,47.0,5.0,164.0
wanparti,16.36738,78.06889,India,108.0,Unhealthy for Sensitive Groups,0.0,30.0,0.0,108.0
wankaner,22.61198,70.94379,India,155.0,Unhealthy,0.0,32.0,0.0,155.0
wani,20.05507,78.95313,India,162.0,Unhealthy,2.0,27.0,12.0,162.0
walajapet,12.9251,79.36626,India,107.0,Unhealthy for Sensitive Groups,2.0,34.0,5.0,107.0
walajabad,12.79041,79.82358,India,100.0,Unhealthy for Sensitive Groups,2.0,40.0,3.0,100.0
wai,17.95276,73.89058,India,86.0,Moderate,0.0,23.0,0.0,86.0
wadi,17.05183,76.99048,India,74.0,Moderate,0.0,24.0,0.0,74.0
vyara,21.11079,73.39365,India,109.0,Unhealthy for Sensitive Groups,1.0,27.0,1.0,109.0
vuyyuru,16.36307,80.84406,India,142.0,Unhealthy for Sensitive Groups,1.0,42.0,0.0,142.0
vrindavan,27.58105,77.69662,India,246.0,Very Unhealthy,1.0,44.0,0.0,246.0
vizianagaram,18.11692,83.41148,India,129.0,Unhealthy for Sensitive Groups,3.0,39.0,7.0,129.0
vite,17.27343,74.53792,India,108.0,Unhealthy for Sensitive Groups,2.0,23.0,4.0,108.0
visnagar,23.69855,72.5521,India,159.0,Unhealthy,1.0,32.0,0.0,159.0
visakhapatnam,17.68009,83.20161,India,155.0,Unhealthy,2.0,78.0,2.0,155.0
visavadar,21.33954,70.74966,India,157.0,Unhealthy,0.0,26.0,0.0,157.0
virudunagar,9.58509,77.95787,India,33.0,Good,1.0,30.0,0.0,33.0
virar,19.45591,72.81136,India,151.0,Unhealthy,1.0,25.0,1.0,151.0
virapandi,9.96331,77.44719,India,45.0,Good,0.0,22.0,0.0,45.0
viramgam,23.12564,72.05014,India,164.0,Unhealthy,1.0,37.0,0.0,164.0
viraganur,11.47613,78.73553,India,78.0,Moderate,1.0,41.0,1.0,78.0
vinukonda,16.0531,79.73964,India,150.0,Unhealthy,2.0,37.0,6.0,150.0
vikravandi,12.0369,79.54595,India,70.0,Moderate,1.0,31.0,2.0,70.0
vikramasingapuram,8.71477,77.39032,India,54.0,Moderate,1.0,27.0,0.0,54.0
vikarabad,17.3381,77.90441,India,101.0,Unhealthy for Sensitive Groups,1.0,40.0,1.0,101.0
vijayawada,16.50745,80.6466,India,93.0,Moderate,2.0,54.0,1.0,93.0
vijapur,23.5623,72.74848,India,158.0,Unhealthy,1.0,35.0,0.0,158.0
vidisha,23.52604,77.81092,India,153.0,Unhealthy,1.0,37.0,0.0,153.0
vidisha,23.91667,78.0,India,153.0,Unhealthy,1.0,37.0,0.0,153.0
vettavalam,12.10769,79.24516,India,54.0,Moderate,1.0,35.0,1.0,54.0
vetapalem,15.78502,80.30663,India,52.0,Moderate,1.0,40.0,0.0,52.0
venkatagiri,13.96005,79.58032,India,68.0,Moderate,0.0,26.0,0.0,68.0
venkatagiri,13.19444,78.90081,India,68.0,Moderate,0.0,26.0,0.0,68.0
vengurla,15.86125,73.63182,India,56.0,Moderate,1.0,30.0,1.0,56.0
vemalwada,18.46523,78.86894,India,143.0,Unhealthy for Sensitive Groups,1.0,30.0,1.0,143.0
velur,11.10825,78.00113,India,37.0,Good,1.0,29.0,0.0,37.0
vejalpur,22.69021,73.56299,India,149.0,Unhealthy for Sensitive Groups,1.0,41.0,0.0,149.0
vedasandur,10.53102,77.95019,India,100.0,Unhealthy for Sensitive Groups,2.0,14.0,7.0,100.0
vayalar,9.71158,76.33888,India,86.0,Moderate,1.0,26.0,1.0,86.0
vattalkundu,10.16069,77.75883,India,50.0,Good,1.0,25.0,0.0,50.0
vasudevanallur,9.24171,77.41177,India,60.0,Moderate,0.0,23.0,0.0,60.0
vasai,19.36071,72.79558,India,158.0,Unhealthy,3.0,28.0,3.0,158.0
vartej,21.73947,72.06553,India,153.0,Unhealthy,0.0,30.0,0.0,153.0
varangaon,21.01767,75.91042,India,151.0,Unhealthy,2.0,27.0,6.0,151.0
varanasi,25.31668,83.01041,India,184.0,Unhealthy,2.0,123.0,1.0,184.0
varanasi,18.85484,83.87134,India,184.0,Unhealthy,2.0,123.0,1.0,184.0
varanasi,25.33333,83.0,India,184.0,Unhealthy,2.0,123.0,1.0,184.0
vaniyambadi,12.68162,78.62014,India,27.0,Good,1.0,25.0,0.0,27.0
vandavasi,12.50429,79.60556,India,65.0,Moderate,1.0,33.0,0.0,65.0
vandalur,12.8924,80.08079,India,99.0,Moderate,2.0,39.0,3.0,99.0
valsad,20.61013,72.93428,India,79.0,Moderate,1.0,18.0,1.0,79.0
valsad,20.5,73.08333,India,79.0,Moderate,1.0,18.0,1.0,79.0
valparai,10.32691,76.95116,India,47.0,Good,1.0,22.0,0.0,47.0
vallam,12.75366,79.15204,India,57.0,Moderate,1.0,30.0,0.0,57.0
vallam,12.25033,79.51672,India,57.0,Moderate,1.0,30.0,0.0,57.0
vallam,10.71988,79.05981,India,57.0,Moderate,1.0,30.0,0.0,57.0
valavanur,11.92094,79.58239,India,63.0,Moderate,1.0,35.0,1.0,63.0
vaikam,9.74858,76.39637,India,58.0,Moderate,0.0,26.0,0.0,58.0
vaijapur,19.92672,74.7275,India,128.0,Unhealthy for Sensitive Groups,1.0,34.0,0.0,128.0
vaghodia,22.30505,73.40016,India,151.0,Unhealthy,1.0,32.0,0.0,151.0
vadodara,22.29941,73.20812,India,155.0,Unhealthy,0.0,28.0,0.0,155.0
vadodara,22.18,73.12,India,155.0,Unhealthy,0.0,28.0,0.0,155.0
vadnagar,23.78593,72.63893,India,165.0,Unhealthy,1.0,36.0,0.0,165.0
vadlapudi,14.31119,79.8043,India,118.0,Unhealthy for Sensitive Groups,3.0,47.0,2.0,118.0
vadamadurai,10.44081,78.09784,India,60.0,Moderate,1.0,31.0,1.0,60.0
vadakku valliyur,8.38286,77.61221,India,57.0,Moderate,0.0,25.0,0.0,57.0
vada,19.65347,73.14811,India,152.0,Unhealthy,1.0,29.0,1.0,152.0
uttiramerur,12.61433,79.75748,India,81.0,Moderate,1.0,38.0,0.0,81.0
uttarkashi,30.72986,78.44342,India,65.0,Moderate,1.0,57.0,0.0,65.0
uttarkashi,31.0,78.5,India,65.0,Moderate,1.0,57.0,0.0,65.0
uttamapalaiyam,9.80701,77.32718,India,52.0,Moderate,0.0,22.0,0.0,52.0
utraula,27.31933,82.41872,India,188.0,Unhealthy,3.0,165.0,1.0,188.0
utran,21.23268,72.85502,India,111.0,Unhealthy for Sensitive Groups,1.0,17.0,3.0,111.0
utran,21.23333,72.86667,India,111.0,Unhealthy for Sensitive Groups,1.0,17.0,3.0,111.0
usilampatti,9.96936,77.78621,India,43.0,Good,1.0,29.0,0.0,43.0
uravakonda,14.94348,77.25494,India,78.0,Moderate,0.0,26.0,0.0,78.0
uran,18.87813,72.93924,India,139.0,Unhealthy for Sensitive Groups,1.0,25.0,1.0,139.0
upleta,21.74015,70.28256,India,158.0,Unhealthy,0.0,26.0,0.0,158.0
unnao,26.54706,80.48781,India,188.0,Unhealthy,2.0,121.0,1.0,188.0
unnao,26.5,80.5,India,188.0,Unhealthy,2.0,121.0,1.0,188.0
unjha,23.80366,72.39101,India,165.0,Unhealthy,1.0,29.0,0.0,165.0
uniara,26.15336,75.21523,India,177.0,Unhealthy,2.0,22.0,7.0,177.0
uniara,25.91502,76.026,India,177.0,Unhealthy,2.0,22.0,7.0,177.0
unhel,23.31369,75.47537,India,152.0,Unhealthy,1.0,39.0,0.0,152.0
unhel,23.33794,75.55931,India,152.0,Unhealthy,1.0,39.0,0.0,152.0
un,29.58479,77.2554,India,160.0,Unhealthy,3.0,126.0,1.0,160.0
un,23.88745,71.76975,India,160.0,Unhealthy,3.0,126.0,1.0,160.0
un,21.82192,75.45679,India,160.0,Unhealthy,3.0,126.0,1.0,160.0
umreth,22.69881,73.11561,India,154.0,Unhealthy,1.0,37.0,0.0,154.0
umreth,22.12621,78.71493,India,154.0,Unhealthy,1.0,37.0,0.0,154.0
umred,20.85396,79.32466,India,170.0,Unhealthy,1.0,33.0,1.0,170.0
umrala,21.84353,71.80305,India,156.0,Unhealthy,0.0,34.0,0.0,156.0
umarkot,24.08336,76.13214,India,159.0,Unhealthy,1.0,31.0,1.0,159.0
umarkot,22.78702,74.84557,India,159.0,Unhealthy,1.0,31.0,1.0,159.0
umarkot,19.66529,82.20629,India,159.0,Unhealthy,1.0,31.0,1.0,159.0
umarkhed,19.60144,77.68878,India,110.0,Unhealthy for Sensitive Groups,1.0,35.0,0.0,110.0
umaria,23.80777,80.93805,India,163.0,Unhealthy,2.0,92.0,0.0,163.0
umaria,23.52473,80.83716,India,163.0,Unhealthy,2.0,92.0,0.0,163.0
umaria,23.5105,80.2732,India,163.0,Unhealthy,2.0,92.0,0.0,163.0
umaria,23.40694,78.67576,India,163.0,Unhealthy,2.0,92.0,0.0,163.0
umaria,22.75972,74.07255,India,163.0,Unhealthy,2.0,92.0,0.0,163.0
umarga,17.83841,76.62331,India,85.0,Moderate,0.0,26.0,0.0,85.0
ulundurpettai,11.70205,79.31809,India,103.0,Unhealthy for Sensitive Groups,2.0,26.0,12.0,103.0
ullal,12.80569,74.86058,India,78.0,Moderate,0.0,24.0,0.0,78.0
ulhasnagar,19.21667,73.15,India,164.0,Unhealthy,4.0,32.0,5.0,164.0
ujjain,23.18239,75.77643,India,156.0,Unhealthy,1.0,36.0,0.0,156.0
ujjain,23.41667,75.5,India,156.0,Unhealthy,1.0,36.0,0.0,156.0
ujhani,28.00311,79.00821,India,500.0,Hazardous,1.0,51.0,2.0,396.0
udpura,24.73355,75.97514,India,155.0,Unhealthy,1.0,44.0,0.0,155.0
udupi,13.33467,74.74617,India,80.0,Moderate,1.0,25.0,0.0,80.0
udhampur,32.92431,75.13573,India,154.0,Unhealthy,3.0,46.0,2.0,154.0
udhampur,33.0,75.16667,India,154.0,Unhealthy,3.0,46.0,2.0,154.0
udgir,18.39258,77.11756,India,85.0,Moderate,0.0,29.0,0.0,85.0
udayagiri,20.63333,86.26667,India,158.0,Unhealthy,2.0,63.0,0.0,158.0
udayagiri,20.75,86.31667,India,158.0,Unhealthy,2.0,63.0,0.0,158.0
udayagiri,14.87538,79.30861,India,158.0,Unhealthy,2.0,63.0,0.0,158.0
udalguri,27.55622,95.2623,India,76.0,Moderate,2.0,42.0,1.0,76.0
udalguri,26.75367,92.10215,India,76.0,Moderate,2.0,42.0,1.0,76.0
udala,21.57811,86.56676,India,169.0,Unhealthy,1.0,49.0,0.0,169.0
udaipura,24.78932,78.67956,India,167.0,Unhealthy,1.0,38.0,0.0,167.0
udaipura,23.07434,78.51108,India,167.0,Unhealthy,1.0,38.0,0.0,167.0
udaipur,27.72297,75.47178,India,70.0,Moderate,3.0,36.0,2.0,70.0
udaipur,24.58584,73.71346,India,70.0,Moderate,3.0,36.0,2.0,70.0
udaipur,23.53333,91.48333,India,70.0,Moderate,3.0,36.0,2.0,70.0
udaipur,20.62238,83.74428,India,70.0,Moderate,3.0,36.0,2.0,70.0
udaipur,24.33,73.77,India,70.0,Moderate,3.0,36.0,2.0,70.0
udayagiri,20.12416,84.36869,India,158.0,Unhealthy,2.0,63.0,0.0,158.0
turuvekere,13.16374,76.66641,India,39.0,Good,0.0,25.0,0.0,39.0
turaiyur,11.14968,78.5987,India,61.0,Moderate,1.0,27.0,1.0,61.0
turaiyur,9.09518,77.91707,India,61.0,Moderate,1.0,27.0,1.0,61.0
tura,25.51421,90.20239,India,75.0,Moderate,2.0,23.0,4.0,75.0
tuni,17.35905,82.54607,India,93.0,Moderate,3.0,40.0,2.0,93.0
tundla,27.2146,78.23683,India,180.0,Unhealthy,6.0,39.0,13.0,180.0
tumsar,21.38333,79.73333,India,172.0,Unhealthy,3.0,44.0,7.0,172.0
tumkur,16.51204,77.08753,India,63.0,Moderate,1.0,17.0,4.0,63.0
tumkur,13.34136,77.1022,India,63.0,Moderate,1.0,17.0,4.0,63.0
tumkur,13.5,77.0,India,63.0,Moderate,1.0,17.0,4.0,63.0
tulsipur,27.5337,82.41653,India,172.0,Unhealthy,3.0,154.0,1.0,172.0
tulsipur,25.3672,87.03743,India,172.0,Unhealthy,3.0,154.0,1.0,172.0
tuljapur,20.79067,78.82752,India,104.0,Unhealthy for Sensitive Groups,1.0,35.0,1.0,104.0
tuljapur,18.00804,76.07011,India,104.0,Unhealthy for Sensitive Groups,1.0,35.0,1.0,104.0
tufanganj,26.31688,89.66549,India,151.0,Unhealthy,5.0,14.0,10.0,151.0
tuensang,26.26704,94.82415,India,59.0,Moderate,2.0,46.0,0.0,59.0
thiruvananthapuram,8.4855,76.94924,India,65.0,Moderate,1.0,28.0,0.0,65.0
trimbak,19.93268,73.52907,India,131.0,Unhealthy for Sensitive Groups,0.0,25.0,0.0,131.0
thrissur,10.51667,76.21667,India,89.0,Moderate,1.0,21.0,4.0,89.0
tral,33.92708,75.11585,India,99.0,Moderate,1.0,49.0,0.0,99.0
tosham,28.86993,75.9165,India,171.0,Unhealthy,3.0,162.0,1.0,171.0
tonk,26.16638,75.78824,India,191.0,Unhealthy,3.0,36.0,7.0,191.0
tonk,26.16667,75.58333,India,191.0,Unhealthy,3.0,36.0,7.0,191.0
tondi,9.74173,79.01774,India,55.0,Moderate,0.0,31.0,0.0,55.0
tohana,29.71332,75.90441,India,226.0,Very Unhealthy,2.0,126.0,1.0,226.0
titron,29.66824,77.32391,India,160.0,Unhealthy,3.0,130.0,1.0,160.0
titlagarh,20.28961,83.15233,India,158.0,Unhealthy,1.0,33.0,1.0,158.0
titagarh,22.74252,88.37326,India,183.0,Unhealthy,4.0,106.0,4.0,183.0
tiruvottiyur,13.15823,80.30181,India,107.0,Unhealthy for Sensitive Groups,2.0,25.0,3.0,107.0
tiruvannamalai,12.22662,79.07461,India,68.0,Moderate,1.0,35.0,0.0,68.0
tiruvallur,13.14376,79.90889,India,67.0,Moderate,1.0,33.0,0.0,67.0
tiruvalla,9.3816,76.57489,India,86.0,Moderate,2.0,18.0,4.0,86.0
tirur,10.91368,75.92118,India,71.0,Moderate,0.0,24.0,0.0,71.0
tiruppuvanam,9.82564,78.25795,India,50.0,Good,1.0,33.0,0.0,50.0
tiruppur,11.11541,77.35456,India,52.0,Moderate,0.0,26.0,0.0,52.0
tirupati,13.63551,79.41989,India,84.0,Moderate,0.0,30.0,0.0,84.0
tirunelveli,8.72742,77.6838,India,61.0,Moderate,1.0,22.0,2.0,61.0
tirumullaivasal,11.23996,79.83705,India,59.0,Moderate,1.0,32.0,0.0,59.0
tirumala,13.68333,79.35,India,97.0,Moderate,2.0,33.0,3.0,97.0
tirukkoyilur,11.9662,79.20259,India,76.0,Moderate,1.0,39.0,1.0,76.0
tiruchchendur,8.49725,78.11906,India,53.0,Moderate,0.0,29.0,0.0,53.0
tirthahalli,13.68835,75.24548,India,49.0,Good,1.0,14.0,3.0,49.0
tiptur,13.2563,76.47768,India,45.0,Good,0.0,21.0,0.0,45.0
tinsukia,27.48569,95.35949,India,40.0,Good,1.0,27.0,0.0,40.0
tinsukia,27.48905,95.35992,India,40.0,Good,1.0,27.0,0.0,40.0
tinnanur,13.11448,80.02713,India,67.0,Moderate,1.0,39.0,1.0,67.0
tindwari,25.61739,80.52718,India,174.0,Unhealthy,4.0,96.0,5.0,174.0
tindivanam,12.234,79.65551,India,106.0,Unhealthy for Sensitive Groups,2.0,33.0,7.0,106.0
tilhar,27.96282,79.73827,India,156.0,Unhealthy,3.0,112.0,1.0,156.0
tikri,26.94101,82.18877,India,500.0,Hazardous,3.0,47.0,9.0,500.0
tikri,32.94249,74.9859,India,500.0,Hazardous,3.0,47.0,9.0,500.0
tikri,29.2291,77.35479,India,500.0,Hazardous,3.0,47.0,9.0,500.0
tikri,26.31667,78.23333,India,500.0,Hazardous,3.0,47.0,9.0,500.0
tikri,19.17893,83.09188,India,500.0,Hazardous,3.0,47.0,9.0,500.0
tikamgarh,24.74327,78.83061,India,192.0,Unhealthy,1.0,42.0,0.0,192.0
tikamgarh,24.75,79.0,India,192.0,Unhealthy,1.0,42.0,0.0,192.0
tijara,27.93411,76.85541,India,177.0,Unhealthy,4.0,153.0,1.0,177.0
tigri,28.82353,78.15883,India,174.0,Unhealthy,4.0,174.0,2.0,158.0
thoubal,24.63881,93.99639,India,23.0,Good,1.0,20.0,0.0,23.0
thiruvarur,10.77269,79.6368,India,70.0,Moderate,1.0,40.0,0.0,70.0
thasra,22.79831,73.21174,India,157.0,Unhealthy,1.0,39.0,0.0,157.0
tharad,24.39597,71.62577,India,188.0,Unhealthy,1.0,27.0,1.0,188.0
tharad,24.03593,71.42127,India,188.0,Unhealthy,1.0,27.0,1.0,188.0
thanjavur,10.78523,79.13909,India,61.0,Moderate,1.0,31.0,0.0,61.0
thanjavur,10.64,79.22,India,61.0,Moderate,1.0,31.0,0.0,61.0
thanesar,29.97323,76.83214,India,233.0,Very Unhealthy,3.0,172.0,2.0,233.0
thana bhawan,29.61496,77.42102,India,171.0,Unhealthy,5.0,38.0,12.0,171.0
thana bhawan,29.58605,77.41811,India,171.0,Unhealthy,5.0,38.0,12.0,171.0
thana,33.30661,75.51561,India,154.0,Unhealthy,2.0,25.0,2.0,154.0
thakurganj,26.42742,88.13112,India,79.0,Moderate,2.0,46.0,1.0,79.0
thakurdwara,29.19203,78.86145,India,235.0,Very Unhealthy,4.0,203.0,3.0,235.0
tezu,27.91256,96.12882,India,27.0,Good,1.0,26.0,0.0,27.0
tezpur,26.63333,92.8,India,51.0,Moderate,2.0,28.0,1.0,51.0
terdal,16.49379,75.04667,India,137.0,Unhealthy for Sensitive Groups,3.0,21.0,7.0,137.0
teonthar,24.98207,81.64194,India,217.0,Very Unhealthy,1.0,44.0,0.0,217.0
tendukheda,23.3962,79.53947,India,165.0,Unhealthy,4.0,34.0,6.0,165.0
tendukheda,23.17085,78.87238,India,165.0,Unhealthy,4.0,34.0,6.0,165.0
telhara,21.02694,76.83889,India,155.0,Unhealthy,2.0,30.0,3.0,155.0
tekkali,18.6057,84.23546,India,155.0,Unhealthy,3.0,82.0,1.0,155.0
tekari,24.94253,84.84265,India,376.0,Hazardous,1.0,68.0,1.0,296.0
tekanpur,25.99401,78.28322,India,168.0,Unhealthy,4.0,45.0,6.0,168.0
tehri,30.39086,78.4803,India,103.0,Unhealthy for Sensitive Groups,2.0,69.0,0.0,103.0
teghra,25.51025,85.94164,India,159.0,Unhealthy,4.0,127.0,1.0,159.0
teghra,25.49043,85.94001,India,159.0,Unhealthy,4.0,127.0,1.0,159.0
tattayyangarpettai,11.12417,78.44916,India,74.0,Moderate,1.0,30.0,0.0,74.0
tasgaon,17.037,74.60171,India,90.0,Moderate,0.0,24.0,0.0,90.0
tarn taran,31.45191,74.92777,India,143.0,Unhealthy for Sensitive Groups,2.0,143.0,1.0,142.0
taranagar,28.6686,75.03207,India,233.0,Very Unhealthy,2.0,100.0,0.0,233.0
tarana,23.33383,76.04253,India,155.0,Unhealthy,1.0,39.0,0.0,155.0
taramangalam,11.69403,77.97035,India,50.0,Good,1.0,32.0,1.0,50.0
tarakeswar,22.88605,88.01363,India,199.0,Unhealthy,3.0,96.0,3.0,199.0
taoru,28.21173,76.94984,India,176.0,Unhealthy,4.0,175.0,2.0,176.0
tanuku,16.75438,81.68143,India,131.0,Unhealthy for Sensitive Groups,1.0,33.0,1.0,131.0
tankara,22.65622,70.74945,India,154.0,Unhealthy,0.0,31.0,0.0,154.0
tandur,19.15183,79.45024,India,74.0,Moderate,0.0,27.0,0.0,74.0
tandur,17.24849,77.57698,India,74.0,Moderate,0.0,27.0,0.0,74.0
tanakpur,29.074,80.11139,India,117.0,Unhealthy for Sensitive Groups,2.0,117.0,0.0,98.0
tamluk,22.30083,87.92593,India,185.0,Unhealthy,2.0,85.0,2.0,185.0
tambaram,12.9246,80.12707,India,79.0,Moderate,1.0,30.0,1.0,79.0
talwara,31.9376,75.88657,India,158.0,Unhealthy,4.0,35.0,9.0,158.0
talwara,23.56593,74.32166,India,158.0,Unhealthy,4.0,35.0,9.0,158.0
talwandi bhai,30.85584,74.92979,India,198.0,Unhealthy,2.0,160.0,1.0,198.0
taloda,21.56128,74.21238,India,152.0,Unhealthy,0.0,28.0,0.0,152.0
talikota,16.47311,76.31085,India,79.0,Moderate,0.0,25.0,0.0,79.0
talgram,27.04753,79.64811,India,167.0,Unhealthy,4.0,153.0,1.0,167.0
taleigao,15.46915,73.83285,India,51.0,Moderate,1.0,22.0,1.0,51.0
talegaon dabhade,18.73502,73.67561,India,105.0,Unhealthy for Sensitive Groups,0.0,24.0,0.0,105.0
talcher,20.94927,85.23354,India,163.0,Unhealthy,1.0,65.0,1.0,163.0
talbahat,25.04357,78.43441,India,164.0,Unhealthy,1.0,42.0,0.0,164.0
talaja,21.3527,72.03524,India,143.0,Unhealthy for Sensitive Groups,0.0,31.0,0.0,143.0
tal,25.62782,74.05503,India,155.0,Unhealthy,1.0,39.0,0.0,155.0
tal,23.71979,75.38514,India,155.0,Unhealthy,1.0,39.0,0.0,155.0
taki,22.58867,88.93253,India,170.0,Unhealthy,3.0,96.0,2.0,170.0
takhatpur,22.12915,81.86959,India,160.0,Unhealthy,1.0,40.0,0.0,160.0
takhatgarh,25.32235,73.00487,India,187.0,Unhealthy,0.0,34.0,0.0,187.0
tajpur,29.16242,78.48458,India,500.0,Hazardous,1.0,67.0,1.0,500.0
tajpur,26.04094,84.63271,India,500.0,Hazardous,1.0,67.0,1.0,500.0
tajpur,25.90225,84.50551,India,500.0,Hazardous,1.0,67.0,1.0,500.0
tajpur,25.85482,85.67471,India,500.0,Hazardous,1.0,67.0,1.0,500.0
tajpur,25.73,83.92987,India,500.0,Hazardous,1.0,67.0,1.0,500.0
tajpur,23.2256,75.90317,India,500.0,Hazardous,1.0,67.0,1.0,500.0
tadpatri,14.9087,77.97675,India,88.0,Moderate,2.0,29.0,4.0,88.0
tadpatri,14.90832,78.01031,India,88.0,Moderate,2.0,29.0,4.0,88.0
tadepallegudem,16.81467,81.52717,India,127.0,Unhealthy for Sensitive Groups,2.0,65.0,1.0,127.0
tadepalle,16.48333,80.6,India,135.0,Unhealthy for Sensitive Groups,1.0,40.0,0.0,135.0
tadepalle,16.48458,80.60678,India,135.0,Unhealthy for Sensitive Groups,1.0,40.0,0.0,135.0
susner,23.94667,76.08825,India,162.0,Unhealthy,1.0,37.0,0.0,162.0
suriapet,17.14054,79.62045,India,158.0,Unhealthy,2.0,48.0,3.0,158.0
surendranagar,22.72706,71.64856,India,154.0,Unhealthy,0.0,39.0,0.0,154.0
surendranagar,22.75,71.66667,India,154.0,Unhealthy,0.0,39.0,0.0,154.0
suratgarh,29.3215,73.89979,India,500.0,Hazardous,1.0,41.0,0.0,474.0
surat,21.19594,72.83023,India,119.0,Unhealthy for Sensitive Groups,1.0,28.0,0.0,119.0
surat,21.17801,72.81189,India,119.0,Unhealthy for Sensitive Groups,1.0,28.0,0.0,119.0
surandai,8.97574,77.41923,India,48.0,Good,1.0,26.0,0.0,48.0
surajgarh,28.31005,75.73271,India,500.0,Hazardous,1.0,40.0,0.0,464.0
supaul,26.11527,86.59509,India,67.0,Moderate,2.0,48.0,1.0,67.0
supaul,25.9469,86.24971,India,67.0,Moderate,2.0,48.0,1.0,67.0
sunel,24.37065,75.95708,India,162.0,Unhealthy,1.0,41.0,0.0,162.0
sundarnagar,31.53523,76.905,India,152.0,Unhealthy,4.0,29.0,9.0,152.0
sundargarh,22.11667,84.03333,India,156.0,Unhealthy,3.0,63.0,2.0,156.0
sundargarh,22.25,84.5,India,156.0,Unhealthy,3.0,63.0,2.0,156.0
sunam,30.12883,75.79943,India,500.0,Hazardous,1.0,47.0,0.0,452.0
sumbal,34.23412,75.05642,India,152.0,Unhealthy,3.0,37.0,3.0,152.0
sumbal,34.23072,74.6472,India,152.0,Unhealthy,3.0,37.0,3.0,152.0
sulur,11.02427,77.12565,India,49.0,Good,0.0,24.0,0.0,49.0
sultanpur,31.21468,75.19602,India,181.0,Unhealthy,2.0,136.0,1.0,181.0
sultanpur,29.75534,78.11034,India,181.0,Unhealthy,2.0,136.0,1.0,181.0
sultanpur,29.03474,75.86923,India,181.0,Unhealthy,2.0,136.0,1.0,181.0
sultanpur,26.25788,82.07269,India,181.0,Unhealthy,2.0,136.0,1.0,181.0
sultanpur,25.28832,76.17302,India,181.0,Unhealthy,2.0,136.0,1.0,181.0
sultanpur,23.13812,77.93404,India,181.0,Unhealthy,2.0,136.0,1.0,181.0
sultanpur,21.7674,70.86453,India,181.0,Unhealthy,2.0,136.0,1.0,181.0
